slug,url,section_count,section_types,identity_fields_filled,identity_fields_filled_count,hard_no_content,hard_no_format,hard_no_trope,hard_no_category,inferred_count,nuanced_count,missing_count,comp_title_count,has_submission_req,anomaly_flags
alexandra-weiss,https://manuscriptwishlist.com/mswl-post/alexandra-weiss/,6,hybrid|hybrid|hybrid|hybrid|hybrid|audience-based,name|organization|role|email|submission_portal|availability,6,0,0,0,0,2,0,3,31,true,no_hard_nos
ali-herring,https://manuscriptwishlist.com/mswl-post/ali-herring/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
ali-lake,https://manuscriptwishlist.com/mswl-post/ali-lake/,15,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,0,0,0,3,2,0,4,63,true,
amanda-leuck,https://manuscriptwishlist.com/mswl-post/amanda-leuck/,2,hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,1,1,1,2,1,2,3,3,true,
anjanette-barr,https://manuscriptwishlist.com/mswl-post/anjanette-barr/,4,hybrid|hybrid|audience-based|audience-based,name|organization|role|submission_portal|availability,5,3,0,0,2,1,1,4,45,true,
annie-romano,https://manuscriptwishlist.com/mswl-post/annie-romano/,6,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,5,6,1,5,1,3,3,28,true,
bethany-jett,https://manuscriptwishlist.com/mswl-post/bethany-jett/,2,hybrid|hybrid,name|organization|role|submission_portal|availability,5,0,0,0,0,2,1,7,2,true,no_hard_nos
bethany-weaver,https://manuscriptwishlist.com/mswl-post/bethany-weaver/,7,hybrid|genre-based|genre-based|hybrid|hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,0,0,0,0,2,2,4,76,true,no_hard_nos
brandy-vallance,https://manuscriptwishlist.com/mswl-post/brandy-vallance/,0,,name|organization|role|email|submission_portal|availability,6,7,0,0,4,2,2,3,0,true,zero_sections
caitie-flum,https://manuscriptwishlist.com/mswl-post/caitie-flum/,8,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,0,0,0,0,2,0,3,12,true,no_hard_nos
caitlin-mahony,https://manuscriptwishlist.com/mswl-post/caitlin-mahony/,4,hybrid|hybrid|hybrid|genre-based,name|organization|role|email|submission_portal|availability,6,0,0,0,0,3,1,4,4,true,no_hard_nos
caitlin-white,https://manuscriptwishlist.com/mswl-post/caitlin-white/,5,hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,10,2,1,6,2,3,4,25,true,
camille-burns,https://manuscriptwishlist.com/mswl-post/camille-burns/,9,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,3,2,0,0,1,0,4,25,true,
carey-blankenship-kramer,https://manuscriptwishlist.com/mswl-post/carey-blankenship-kramer/,4,hybrid|hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,7,1,0,0,2,0,2,29,true,
chelsea-eberly,https://manuscriptwishlist.com/mswl-post/chelsea-eberly/,5,hybrid|hybrid|hybrid|audience-based|hybrid,name|organization|role|submission_portal|availability,5,2,4,0,0,1,1,4,31,true,
chelsey-emmelhainz,https://manuscriptwishlist.com/mswl-post/chelsey-emmelhainz/,12,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,10,4,1,9,2,3,4,20,true,
ciara-finan,https://manuscriptwishlist.com/mswl-post/ciara-finan/,5,hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,0,0,0,0,2,0,3,35,true,no_hard_nos
daniela-gonzalez-landero,https://manuscriptwishlist.com/mswl-post/daniela-gonzalez-landero/,1,hybrid,name|organization|role|submission_portal|availability,5,2,1,1,2,2,1,5,6,true,
daniele-hunter,https://manuscriptwishlist.com/mswl-post/daniele-hunter/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
danielle-bukowski,https://manuscriptwishlist.com/mswl-post/danielle-bukowski/,2,hybrid|hybrid,name|organization|role|submission_portal|availability,5,1,1,1,1,2,1,5,2,true,
danielle-chiotti,https://manuscriptwishlist.com/mswl-post/danielle-chiotti/,3,hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,0,0,0,5,2,1,3,25,true,
danielle-egan-miller,https://manuscriptwishlist.com/mswl-post/danielle-egan-miller/,8,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,0,1,0,4,2,1,5,11,true,
devin-ross,https://manuscriptwishlist.com/mswl-post/devin-ross/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
devon-halliday,https://manuscriptwishlist.com/mswl-post/devon-halliday/,2,hybrid|hybrid,name|organization|role|pronouns|email|submission_portal|availability,7,6,1,6,5,2,2,3,8,true,
drew-gilmour,https://manuscriptwishlist.com/mswl-post/drew-gilmour/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
elisa-saphier,https://manuscriptwishlist.com/mswl-post/elisa-saphier/,4,hybrid|audience-based|audience-based|other,name|organization|role|email|submission_portal|availability,6,8,4,3,10,2,2,5,0,true,
elizabeth-poteet,https://manuscriptwishlist.com/mswl-post/elizabeth-poteet/,0,,name|organization|role|submission_portal|availability,5,0,0,0,0,2,0,5,5,true,zero_sections|no_hard_nos
emelie-burl,https://manuscriptwishlist.com/mswl-post/emelie-burl/,0,,name|organization|role|email|submission_portal|availability,6,0,0,0,0,2,0,4,0,true,zero_sections|no_hard_nos
emilia-sowersby,https://manuscriptwishlist.com/mswl-post/emilia-sowersby/,4,hybrid|hybrid|hybrid|hybrid,name|organization|role|pronouns|email|submission_portal|availability,7,2,3,1,4,2,1,5,9,true,
emily-s-keyes,https://manuscriptwishlist.com/mswl-post/emily-s-keyes/,5,hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,1,1,1,1,2,1,4,6,true,
gemma-paynter,https://manuscriptwishlist.com/mswl-post/gemma-paynter/,2,hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,0,0,0,0,3,2,4,12,true,no_hard_nos
giannamarie-dobson,https://manuscriptwishlist.com/mswl-post/giannamarie-dobson/,4,hybrid|hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,6,2,1,5,0,0,0,110,true,
harriet-lefavour,https://manuscriptwishlist.com/mswl-post/harriet-lefavour/,3,hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,8,5,0,12,1,3,5,72,true,
jane-chun,https://manuscriptwishlist.com/mswl-post/jane-chun/,8,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|submission_portal|availability,5,4,10,0,5,0,0,0,21,true,
jeanne-de-vita,https://manuscriptwishlist.com/mswl-post/jeanne-de-vita/,7,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,6,10,0,5,2,3,3,38,true,
jill-schuck,https://manuscriptwishlist.com/mswl-post/jill-schuck/,1,hybrid,name|organization|role|email|submission_portal|availability,6,4,0,0,0,2,1,3,0,true,
katie-mcguire,https://manuscriptwishlist.com/mswl-post/katie-mcguire/,6,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|pronouns|email|availability,6,2,1,0,3,1,1,3,0,true,
kelsey-evans,https://manuscriptwishlist.com/mswl-post/kelsey-evans/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
kim-carson-bodie,https://manuscriptwishlist.com/mswl-post/kim-carson-bodie/,5,hybrid|hybrid|hybrid|hybrid|genre-based,name|organization|role|email|submission_portal|availability,6,0,0,0,10,2,2,3,0,true,
lee-melillo,https://manuscriptwishlist.com/mswl-post/lee-melillo/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
madeline-alsup,https://manuscriptwishlist.com/mswl-post/madeline-alsup/,2,hybrid|hybrid,name|organization|role|email|submission_portal|availability,6,0,1,0,0,2,1,4,13,true,
madison-hernick,https://manuscriptwishlist.com/mswl-post/madison-hernick/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
maggie-sadler,https://manuscriptwishlist.com/mswl-post/maggie-sadler/,2,hybrid|hybrid,name|organization|role|submission_portal|availability,5,5,1,1,8,2,1,4,16,true,
mark-falkin,https://manuscriptwishlist.com/mswl-post/mark-falkin/,0,,name|organization|role|email|submission_portal|availability,6,3,2,1,1,2,1,4,17,true,zero_sections
natasha-banke,https://manuscriptwishlist.com/mswl-post/natasha-banke/,1,hybrid,name|organization|role|pronouns|email|submission_portal|availability,7,0,0,0,0,2,0,5,1,true,no_hard_nos
olivia-liv-turner,https://manuscriptwishlist.com/mswl-post/olivia-liv-turner/,0,,,0,0,0,0,0,0,0,0,0,false,zero_sections|missing_name|no_hard_nos
sara-megibow,https://manuscriptwishlist.com/mswl-post/sara-megibow/,5,hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|pronouns|email|submission_portal|availability,7,1,1,1,1,1,1,3,5,true,
v-ruiz,https://manuscriptwishlist.com/mswl-post/v-ruiz/,8,hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid|hybrid,name|organization|role|pronouns|email|submission_portal|availability,7,3,0,0,0,1,6,5,0,true,
